video t (ms),A002C001_140325E3,20140325_121238,Take5_Nexus5,20140325_121245,20140325_131253,IMG_0367,VID_20140325_131247,VID_20140325_131249
537.843174,true,true,true,true,true,true,true,true
538.341096,true,true,true,true,true,true,true,true
538.840947,true,true,true,true,true,true,true,true
539.340974,true,true,true,true,true,true,true,true
539.841703,true,true,true,true,true,true,true,true
540.341483,true,true,true,true,true,true,true,true
540.842264,true,true,true,true,true,true,true,true
541.342133,true,true,true,true,true,true,true,true
541.841121,true,true,true,true,true,true,true,true
542.341795,true,true,true,true,true,true,true,true
542.841338,true,true,true,true,true,true,true,true
543.341493,true,true,true,true,true,true,true,true
543.840669,true,true,true,true,true,true,true,true
544.341598,true,true,true,true,true,true,true,true
544.841248,true,true,true,true,true,true,true,true
545.342115,true,true,true,true,true,true,true,true
545.84069,true,true,true,true,true,true,true,true
546.352425,true,true,true,true,true,true,true,true
546.841292,true,true,true,true,true,true,true,true
547.341937,true,true,true,true,true,true,true,true
547.84147,true,true,true,true,true,true,true,true
548.341516,true,true,true,true,true,true,true,true
548.841121,true,true,true,true,true,true,true,true
549.351378,true,true,true,true,true,true,true,true
549.840961,true,true,true,true,true,true,true,true
550.340725,true,true,true,true,true,true,true,true
550.841549,true,true,true,true,true,true,true,true
551.3417,true,true,true,true,true,true,true,true
552.127717,true,true,true,true,true,true,true,true
552.432881,true,true,true,true,true,true,true,true
552.721636,true,true,true,true,true,true,true,true
553.220218,true,true,true,true,true,true,true,true
553.72057,true,true,true,true,true,true,true,true
554.22099,true,true,true,true,true,true,true,true
554.720866,true,true,true,true,true,true,true,true
555.220853,true,true,true,true,true,true,true,true
555.72098,true,true,true,true,true,true,true,true
556.221564,true,true,true,true,true,true,true,true
556.720923,true,true,true,true,true,true,true,true
557.220415,true,true,true,false,true,true,true,true
557.721445,true,true,true,false,true,true,true,true
558.22047,true,true,true,false,true,true,true,true
558.720386,true,true,true,false,true,true,true,true
559.220221,true,true,true,false,true,true,true,true
559.721665,true,true,true,false,true,true,true,true
560.220721,true,true,true,false,true,true,true,true
560.720864,true,true,true,false,true,true,true,true
561.220558,true,true,true,false,true,true,true,true
561.722028,true,true,true,false,true,true,true,true
562.22125,true,true,true,false,true,true,true,true
562.721168,true,true,true,false,true,true,true,true
563.221745,true,true,true,false,true,true,true,true
563.7217,true,true,true,false,true,true,true,true
564.220811,true,true,true,false,true,true,true,true
564.72055,true,true,true,false,true,true,true,true
565.222355,true,true,true,true,true,true,true,true
565.721586,true,true,true,true,true,true,true,true
566.220096,true,true,true,true,true,true,true,true
566.720511,true,true,true,true,true,true,true,true
567.220478,true,true,true,true,true,true,true,true
567.720428,true,true,true,true,true,true,true,true
568.220192,true,true,true,true,true,true,true,true
568.721235,true,true,true,true,true,true,true,true
569.220284,true,true,true,true,true,true,true,true
569.720186,true,true,true,true,true,true,true,true
570.220481,true,true,true,true,true,true,true,true
570.720116,true,true,true,true,true,true,true,true
571.22011,true,true,true,true,true,true,true,true
571.721536,true,true,true,true,true,true,true,true
572.220096,true,true,true,true,true,true,true,true
572.721995,true,true,true,true,true,true,true,true
