video t (ms),A002C001_140325E3,20140325_121238,Take5_Nexus5,20140325_121245,20140325_131253,IMG_0367,VID_20140325_131247,VID_20140325_131249
537.843174,1,1,1,1,1,1,1,1
538.341096,1,1,1,1,1,1,1,1
538.840947,1,1,1,1,1,1,1,1
539.340974,1,1,1,1,1,1,1,1
539.841703,1,1,1,1,1,1,1,1
540.341483,1,1,1,1,1,1,1,1
540.842264,1,1,1,1,1,1,1,1
541.342133,1,1,1,1,1,1,1,1
541.841121,1,1,1,1,1,1,1,1
542.341795,1,1,1,1,1,1,1,1
542.841338,1,1,1,1,1,1,1,1
543.341493,1,1,1,1,1,1,1,1
543.840669,1,1,1,1,1,1,1,1
544.341598,1,1,1,1,1,1,1,1
544.841248,1,1,1,1,1,1,1,1
545.342115,1,1,1,1,1,1,1,1
545.84069,1,1,1,1,1,1,1,1
546.352425,1,1,1,1,1,1,1,1
546.841292,1,1,1,1,1,1,1,1
547.341937,1,1,1,1,1,1,1,1
547.84147,1,1,1,1,1,1,1,1
548.341516,1,1,1,1,1,1,1,1
548.841121,1,1,1,1,1,1,1,1
549.351378,1,1,1,1,1,1,1,1
549.840961,1,1,1,1,1,1,1,1
550.340725,1,1,1,1,1,1,1,1
550.841549,1,1,1,1,1,1,1,1
551.3417,1,1,1,1,1,1,1,1
552.127717,1,1,1,1,1,1,1,1
552.432881,1,1,1,1,1,1,1,1
552.721636,1,1,1,1,1,1,1,1
553.220218,1,1,1,1,1,1,1,1
553.72057,1,1,1,1,1,1,1,1
554.22099,1,1,1,1,1,1,1,1
554.720866,1,1,1,1,1,1,1,1
555.220853,1,1,1,1,1,1,1,1
555.72098,1,1,1,1,1,1,1,1
556.221564,1,1,1,1,1,1,1,1
556.720923,1,1,1,1,1,1,1,1
557.220415,1,1,1,1,1,1,1,1
557.721445,1,1,1,1,1,1,1,1
558.22047,1,1,1,1,1,1,1,1
558.720386,1,1,1,1,1,1,1,1
559.220221,1,1,1,1,1,1,1,1
559.721665,1,1,1,1,1,1,1,1
560.220721,1,1,1,1,1,1,1,1
560.720864,1,1,1,1,1,1,1,1
561.220558,1,1,1,1,1,1,1,1
561.722028,1,1,1,1,1,1,1,1
562.22125,1,1,1,1,1,1,1,1
562.721168,1,1,1,1,1,1,1,1
563.221745,1,1,1,1,1,1,1,1
563.7217,1,1,1,1,1,1,1,1
564.220811,1,1,1,1,1,1,1,1
564.72055,1,1,1,1,1,1,1,1
565.222355,1,1,1,1,1,1,1,1
565.721586,1,1,1,1,1,1,1,1
566.220096,1,1,1,1,1,1,1,1
566.720511,1,1,1,1,1,1,1,1
567.220478,1,1,1,1,1,1,1,1
567.720428,1,1,1,1,1,1,1,1
568.220192,1,1,1,1,1,1,1,1
568.721235,1,1,1,1,1,1,1,1
569.220284,1,1,1,1,1,1,1,1
569.720186,1,1,1,1,1,1,1,1
570.220481,1,1,1,1,1,1,1,1
570.720116,1,1,1,1,1,1,1,1
571.22011,1,1,1,1,1,1,1,1
571.721536,1,1,1,1,1,1,1,1
572.220096,1,1,1,1,1,1,1,1
572.721995,1,1,1,1,1,1,1,1
573.220507,1,1,1,1,1,1,1,1
573.72146,1,1,1,1,1,1,1,1
574.220559,1,1,1,1,1,1,1,1
574.720525,1,1,1,1,1,1,1,1
575.220606,1,1,1,1,1,1,1,1
575.721933,1,1,1,1,1,1,1,1
576.221749,1,1,1,1,1,1,1,1
576.720163,1,1,1,1,1,1,1,1
577.220399,1,1,1,1,1,1,1,1
577.720148,1,1,1,1,1,1,1,1
578.22074,1,1,1,1,1,1,1,1
578.723136,1,1,1,1,1,1,1,1
579.220728,1,1,1,1,1,1,1,1
